date,open,high,low,close,volumn,marketcap
2018-07-01,6411.68017578,6432.85009766,6289.29003906,6385.81982422,4788259840.0,109366024632.0
2018-07-02,6380.37988281,6683.85986328,6305.70019531,6614.18017578,4396930048.0,113288832522.0
2018-07-03,6596.66015625,6671.37011719,6447.75,6529.58984375,4672309760.0,111849428104.0
2018-07-04,6550.87011719,6771.91992188,6450.45996094,6597.54980469,4176689920.0,113024522547.0
2018-07-05,6599.70996094,6749.54003906,6546.64990234,6639.14013672,4999240192.0,113748385620.0
2018-07-06,6638.68994141,6700.93994141,6533.54980469,6673.5,4313959936.0,114350502582.0
2018-07-07,6668.70996094,6863.99023438,6579.24023438,6856.93017578,3961080064.0,117506606000.0
2018-07-08,6857.79980469,6885.91015625,6747.97998047,6773.87988281,3386210048.0,116097021279.0
2018-07-09,6775.08007812,6838.68017578,6724.33984375,6741.75,3718129920.0,115557889495.0
2018-07-10,6739.20996094,6767.74023438,6320.72021484,6329.95019531,4052430080.0,108511009626.0
2018-07-11,6330.77001953,6444.95996094,6330.47021484,6394.70996094,3644859904.0,109631867446.0
2018-07-12,6396.77978516,6397.10009766,6136.41992188,6228.81005859,3770170112.0,106798864820.0
2018-07-13,6235.02978516,6310.54980469,6192.24023438,6238.04980469,3805400064.0,106968440793.0
2018-07-14,6247.5,6298.18994141,6212.22021484,6276.12011719,2923670016.0,107631453835.0
2018-07-15,6272.70019531,6403.45996094,6256.50976562,6359.64013672,3285459968.0,109074579938.0
2018-07-16,6357.00976562,6741.75,6357.00976562,6741.75,4725799936.0,115638203962.0
2018-07-17,6739.64990234,7387.24023438,6684.16992188,7321.04003906,5961950208.0,125588963706.0
2018-07-18,7315.31982422,7534.99023438,7280.47021484,7370.77978516,6103410176.0,126458165406.0
2018-07-19,7378.20019531,7494.45996094,7295.45996094,7466.85986328,5111629824.0,128122730711.0
2018-07-20,7467.39990234,7594.66992188,7323.25976562,7354.12988281,4936869888.0,126202570251.0
2018-07-21,7352.72021484,7437.64013672,7262.41015625,7419.29003906,3726609920.0,127333468174.0
2018-07-22,7417.79980469,7537.95019531,7383.81982422,7418.49023438,3695460096.0,127336615249.0
2018-07-23,7414.70996094,7771.5,7409.10009766,7711.10986328,5132480000.0,132375368459.0
2018-07-24,7716.50976562,8424.26953125,7705.5,8424.26953125,7277689856.0,144634918474.0
2018-07-25,8379.66015625,8416.87011719,8086.35986328,8181.39013672,5845400064.0,140482950401.0
2018-07-26,8176.85009766,8290.33007812,7878.70996094,7951.58007812,4899089920.0,136553079708.0
2018-07-27,7950.39990234,8262.66015625,7839.75976562,8165.00976562,5195879936.0,140235573607.0
2018-07-28,8169.06005859,8222.84960938,8110.77001953,8192.15039062,3988750080.0,140716560550.0
2018-07-29,8205.8203125,8272.25976562,8141.18017578,8218.45996094,4107190016.0,141185844808.0
2018-07-30,8221.58,8235.5,7917.5,8180.48,5551400000.0,140547190784.0
2018-07-31,8181.2,8181.53,7696.93,7780.44,5287530000.0,133688476220.0
2018-08-01,7769.04,7769.04,7504.95,7624.91,4797620000.0,131030166771.0
2018-08-02,7634.19,7712.77,7523.44,7567.15,4214110000.0,130052066760.0
2018-08-03,7562.14,7562.14,7328.65,7434.39,4627150000.0,127785826655.0
2018-08-04,7438.67,7497.49,6984.07,7032.85,4268390000.0,120899698889.0
2018-08-05,7031.08,7102.77,6940.7,7068.48,3679110000.0,121526079384.0
2018-08-06,7062.94,7166.55,6890.54,6951.8,3925900000.0,119531508535.0
2018-08-07,6958.32,7146.56,6748.24,6753.12,4682800000.0,116128339800.0
2018-08-08,6746.85,6746.85,6226.22,6305.8,5064430000.0,108448409560.0
2018-08-09,6305.56,6625.73,6249.07,6568.23,4267040000.0,112973963230.0
2018-08-10,6571.42,6591.26,6124.52,6184.71,4528680000.0,106390927598.0
2018-08-11,6185.79,6455.74,6109.03,6295.73,4047850000.0,108314257212.0
2018-08-12,6283.65,6409.85,6237.5,6322.69,5665250000.0,108790259014.0
2018-08-13,6341.36,6537.05,6225.72,6297.57,4083980000.0,108369686635.0
2018-08-14,6287.66,6287.94,5971.05,6199.71,5301700000.0,106696389129.0
2018-08-15,6221.42,6588.49,6221.42,6308.52,4895450000.0,108581773101.0
2018-08-16,6294.23,6473.5,6276.41,6334.73,4328420000.0,109045250379.0
2018-08-17,6340.91,6582.5,6324.97,6580.63,4992990000.0,113290724406.0
2018-08-18,6583.43,6617.35,6353.73,6423.76,3984520000.0,110603014928.0
2018-08-19,6422.57,6537.98,6361.55,6506.07,3311170000.0,112031838393.0
2018-08-20,6500.51,6536.92,6297.93,6308.53,3665100000.0,108642191682.0
2018-08-21,6301.07,6500.87,6298.24,6488.76,3377180000.0,111758100192.0
2018-08-22,6486.25,6816.79,6310.11,6376.71,4668110000.0,109840902181.0
2018-08-23,6371.34,6546.54,6371.34,6534.88,3426180000.0,112577436411.0
2018-08-24,6551.52,6719.96,6498.64,6719.96,4097820000.0,115778358839.0
2018-08-25,6719.95,6789.63,6700.96,6763.19,3312600000.0,116534497933.0
2018-08-26,6754.64,6774.75,6620.75,6707.26,3295500000.0,115585205491.0
2018-08-27,6710.8,6884.64,6689.71,6884.64,4019000000.0,118657885712.0
2018-08-28,6891.08,7109.56,6882.34,7096.28,4659940000.0,122319195736.0
2018-08-29,7091.71,7113.3,6970.82,7047.16,4145880000.0,121484666374.0
2018-08-30,7043.76,7072.69,6834.69,6978.23,4463250000.0,120309828156.0
2018-08-31,6973.97,7057.17,6920.16,7037.58,4495650000.0,121346613238.0
2018-09-01,7044.81,7242.29,7038.05,7193.25,4116050000.0,124044625438.0
2018-09-02,7189.58,7306.31,7132.16,7272.72,4329540000.0,125427780027.0
2018-09-03,7279.03,7317.94,7208.15,7260.06,4087760000.0,125222785390.0
2018-09-04,7263.0,7388.26,7255.44,7361.66,4273640000.0,126986882925.0
2018-09-05,7361.46,7388.43,6792.83,6792.83,5800460000.0,117185657641.0
2018-09-06,6755.14,6755.14,6404.72,6529.17,5523470000.0,112649565532.0
2018-09-07,6528.92,6555.29,6396.87,6467.07,4264680000.0,111590424587.0
2018-09-08,6460.17,6534.25,6197.52,6225.98,3835060000.0,107442122871.0
2018-09-09,6223.38,6446.26,6201.22,6300.86,3671890000.0,108747090915.0
2018-09-10,6301.57,6374.98,6292.76,6329.7,3714100000.0,109255603474.0
2018-09-11,6331.88,6398.92,6260.21,6321.2,3849910000.0,109119948884.0
2018-09-12,6317.01,6363.87,6265.09,6351.8,4064230000.0,109661521297.0
2018-09-13,6354.24,6535.41,6354.24,6517.31,4210910000.0,112530970182.0
2018-09-14,6515.41,6596.1,6456.17,6512.71,4076220000.0,112462453186.0
2018-09-15,6509.4,6561.72,6493.55,6543.2,3216300000.0,113000324618.0
2018-09-16,6536.68,6544.33,6460.1,6517.18,3273730000.0,112562367224.0
2018-09-17,6514.06,6540.21,6257.52,6281.2,3910780000.0,108497127334.0
2018-09-18,6280.91,6384.18,6265.71,6371.3,4180090000.0,110064685348.0
2018-09-19,6371.85,6448.46,6208.34,6398.54,4431340000.0,110547735544.0
2018-09-20,6398.85,6529.26,6395.95,6519.67,4348110000.0,112653130183.0
2018-09-21,6513.87,6794.33,6496.36,6734.95,6531940000.0,116385068032.0
2018-09-22,6735.05,6814.56,6616.8,6721.98,4509660000.0,116173876360.0
2018-09-23,6715.32,6766.15,6679.42,6710.63,4197500000.0,115990387532.0
2018-09-24,6704.77,6713.56,6580.9,6595.41,4177310000.0,114011060309.0
2018-09-25,6603.64,6603.64,6381.86,6446.47,4726180000.0,111450035114.0
2018-09-26,6452.79,6585.91,6397.89,6495.0,4437300000.0,112300336125.0
2018-09-27,6495.29,6712.1,6464.95,6676.75,4606810000.0,115454861756.0
2018-09-28,6678.75,6785.03,6598.32,6644.13,5014430000.0,114903584220.0
2018-09-29,6643.1,6643.1,6511.65,6601.96,4363690000.0,114186839964.0
2018-09-30,6604.71,6643.78,6566.54,6625.56,4002280000.0,114608519470.0
2018-10-01,6619.85,6653.3,6549.08,6589.62,4000970000.0,113999846113.0
2018-10-02,6593.24,6611.84,6537.9,6556.1,3979260000.0,113431019760.0
2018-10-03,6553.86,6571.46,6454.03,6502.59,3887310000.0,112516993837.0
2018-10-04,6497.91,6603.31,6497.91,6576.69,3838410000.0,113811343543.0
2018-10-05,6574.15,6623.62,6557.41,6622.48,3671500000.0,114614764674.0
2018-10-06,6622.45,6628.54,6577.8,6588.31,3259740000.0,114033598927.0
2018-10-07,6590.68,6641.49,6557.04,6602.95,3306630000.0,114298880311.0
2018-10-08,6600.19,6675.06,6576.04,6652.23,3979460000.0,115162906843.0
2018-10-09,6653.08,6661.41,6606.94,6642.64,3580810000.0,115007759484.0
2018-10-10,6640.29,6640.29,6538.96,6585.53,3787650000.0,114030835912.0
2018-10-11,6586.74,6586.74,6243.74,6256.24,5181640000.0,108341572839.0
2018-10-12,6239.25,6328.5,6236.47,6274.58,3783500000.0,108669526315.0
2018-10-13,6278.08,6308.51,6259.81,6285.99,3064030000.0,108878136724.0
2018-10-14,6288.49,6363.21,6280.15,6290.93,3085320000.0,108972590373.0
2018-10-15,6292.64,6965.06,6258.68,6596.54,7370770000.0,114280022340.0
2018-10-16,6601.41,6673.59,6571.37,6596.11,4074800000.0,114283707152.0
2018-10-17,6590.52,6601.21,6517.45,6544.43,4088420000.0,113399343801.0
2018-10-18,6542.33,6567.54,6450.04,6476.71,3924080000.0,112237252159.0
2018-10-19,6478.07,6493.68,6445.31,6465.41,3578870000.0,112052990522.0
2018-10-20,6460.92,6497.72,6449.0,6489.19,3379130000.0,112476559221.0
2018-10-21,6490.09,6556.38,6476.0,6482.35,3253610000.0,112369106369.0
2018-10-22,6486.05,6543.8,6462.98,6487.16,3672860000.0,112465213723.0
2018-10-23,6472.36,6506.01,6451.27,6475.74,3716150000.0,112279779884.0
2018-10-24,6478.89,6521.99,6468.86,6495.84,3424670000.0,112637293966.0
2018-10-25,6484.65,6504.65,6447.03,6476.29,3230550000.0,112309554478.0
2018-10-26,6468.44,6498.29,6449.61,6474.75,3306050000.0,112294341019.0
2018-10-27,6480.84,6507.41,6453.53,6480.38,3393250000.0,112403001148.0
2018-10-28,6482.66,6502.28,6447.91,6486.39,3445190000.0,112518434372.0
2018-10-29,6492.35,6503.6,6306.99,6332.63,4199910000.0,109862898081.0
2018-10-30,6337.04,6364.99,6310.14,6334.27,3781100000.0,109903543419.0
2018-10-31,6336.99,6349.16,6316.88,6317.61,4191240000.0,109627117226.0
2018-11-01,6318.14,6547.14,6311.83,6377.78,3789400000.0,110683820788.0
2018-11-02,6378.92,6396.86,6327.38,6388.44,4234870000.0,110880236966.0
2018-11-03,6387.24,6400.07,6342.37,6361.26,3658640000.0,110421212888.0
2018-11-04,6365.47,6388.63,6294.57,6376.13,4390020000.0,110689215104.0
2018-11-05,6363.62,6480.59,6363.62,6419.66,4174800000.0,111456211022.0
2018-11-06,6433.38,6463.55,6408.16,6461.01,4700040000.0,112095603776.0
2018-11-07,6468.5,6552.16,6468.31,6530.14,4941260000.0,113395632955.0
2018-11-08,6522.27,6536.92,6438.53,6453.72,4665260000.0,112078367037.0
2018-11-09,6442.6,6456.46,6373.37,6385.62,4346820000.0,110905767441.0
2018-11-10,6386.13,6437.28,6385.31,6409.22,3705320000.0,111326145314.0
2018-11-11,6413.63,6423.25,6350.17,6411.27,3939060000.0,111373453740.0
2018-11-12,6411.76,6434.21,6360.47,6371.27,4295770000.0,110689666528.0
2018-11-13,6373.19,6395.27,6342.67,6359.49,4503800000.0,110494466204.0
2018-11-14,6351.24,6371.55,5544.09,5738.35,7398940000.0,99712077258.9
2018-11-15,5736.15,5774.82,5358.38,5648.03,7032140000.0,98151606540.8
2018-11-16,5645.32,5657.02,5498.94,5575.55,5279320000.0,96900828780.0
2018-11-17,5578.58,5578.58,5519.56,5554.33,4303150000.0,96542098114.0
2018-11-18,5559.74,5653.61,5559.74,5623.54,4159680000.0,97753714643.0
2018-11-19,5620.78,5620.78,4842.91,4871.49,7039560000.0,84688539692.2
2018-11-20,4863.93,4951.61,4272.11,4451.87,8428290000.0,77401044319.7
2018-11-21,4465.54,4675.73,4343.98,4602.17,6120120000.0,80020171046.8
2018-11-22,4611.57,4629.64,4365.64,4365.94,4569370000.0,75919439808.5
2018-11-23,4360.7,4396.42,4195.68,4347.11,4871490000.0,75598851166.0
2018-11-24,4347.69,4413.09,3795.16,3880.76,4679500000.0,67495633205.0
2018-11-25,3880.78,4120.87,3585.06,4009.97,6825640000.0,69749265801.1
2018-11-26,4015.07,4107.14,3643.92,3779.13,6476900000.0,65739289045.5
2018-11-27,3765.95,3862.96,3661.01,3820.72,5998720000.0,66468970322.0
2018-11-28,3822.47,4385.9,3822.47,4257.42,7280280000.0,74072560088.0
2018-11-29,4269.00439453,4413.02046804,4145.76513672,4278.84645524,6503347767.19,74451016926.9
2018-11-30,4289.08896703,4322.97639207,3942.82208559,4017.26845712,6048016716.85,69904637061.3
2018-12-01,4024.46424203,4309.37731216,3969.71064261,4214.67193177,5375314093.1,73346194969.1
2018-12-02,4200.73317961,4301.51941165,4110.97847302,4139.8780641,5262697895.12,72050487506.1
2018-12-03,4147.32376691,4155.97928378,3840.44626837,3894.1309069,5089570993.52,67779050169.8
2018-12-04,3886.2948763,4075.62765492,3832.74993843,3956.89386975,5028069239.31,68878292607.5
2018-12-05,3958.89472485,3969.53585216,3753.99482663,3753.99482663,5302481573.52,65352496335.9
2018-12-06,3754.07446712,3874.96603127,3521.10172384,3521.10172384,5878333109.03,61303965507.8
