date,true,pred
2018-11-02,6361.26,6406.1064038403465
2018-11-03,6376.13,6380.660195538542
2018-11-04,6419.66,6394.581649454945
2018-11-05,6461.01,6435.3349035895135
2018-11-06,6530.14,6474.047218279714
2018-11-07,6453.72,6538.767467724298
2018-11-08,6385.62,6467.222241880885
2018-11-09,6409.22,6403.466289513228
2018-11-10,6411.27,6425.5608633146485
2018-11-11,6371.27,6427.480095360958
2018-11-12,6359.49,6390.03166518906
2018-11-13,5738.35,6379.003102503435
2018-11-14,5648.03,5797.48515457911
2018-11-15,5575.55,5712.926599250963
2018-11-16,5554.33,5645.070043779483
2018-11-17,5623.54,5625.203651573291
2018-11-18,4871.49,5689.998797878218
2018-11-19,4451.87,4985.921500108812
2018-11-20,4602.17,4593.068743390511
2018-11-21,4365.94,4733.781219761419
2018-11-22,4347.11,4512.62015327373
2018-11-23,3880.76,4494.9913047703085
2018-11-24,4009.97,4058.389419503688
2018-11-25,3779.13,4179.357211066463
2018-11-26,3820.72,3963.242320544437
2018-11-27,4257.42,4002.179325815668
2018-11-28,4278.84645524,4411.022562217369
2018-11-29,4017.26845712,4431.082240039531
2018-11-30,4214.67193177,4186.190105111986
2018-12-01,4139.8780641,4371.001361015002
2018-12-02,3894.1309069,4300.978537746847
2018-12-03,3956.89386975,4070.9074063381777
2018-12-04,3753.99482663,4129.666767129919
2018-12-05,3521.10172384,3939.7105009243114
2018-12-06,3419.93720035,3721.6734734906095
2018-12-07,3476.11471452,3626.962158645893
2018-12-08,3614.23427278,3679.556151561545
2018-12-09,3502.65599577,3808.865167383372
2018-12-10,3424.58807495,3704.404384500629
2018-12-11,3486.95014412,3631.316357463302
2018-12-12,3313.67725772,3689.7003972804982
2018-12-13,3242.48476281,3527.480457604656
2018-12-14,3236.76164502,3460.8292782446465
2018-12-15,3252.83902595,3455.471233821537
2018-12-16,3545.86476058,3470.5230507491406
2018-12-17,3696.05912776,3744.8568947956605
2018-12-18,3745.95076478,3885.4704765844785
2018-12-19,4134.44120304,3932.1795637121077
2018-12-20,3896.54371704,4295.888489952853
2018-12-21,4014.18251388,4073.166305139324
2018-12-22,3998.98034184,4183.301011863546
2018-12-23,4078.59919478,4169.068574911018
2018-12-24,3815.49060966,4243.608601278273
2018-12-25,3857.29751969,3997.2835143409407
2018-12-26,3654.83353854,4036.4235931149733
2018-12-27,3923.91859424,3846.8746366044647
2018-12-28,3820.40868219,4098.794959571536
2018-12-29,3865.95257679,4001.887866733942
2018-12-30,3742.70033544,4044.526550651052
2018-12-31,3843.51996727,3929.1364768079156
